MatriceDistance_km;Abuna;Amazon1;Amazon2;Amazon5;Amazon8;Amazon9;Andira1;Apaporis;Apurimac1;Arinos;Aripuana;Bacaja;Beni;Blanco_Baures;Branco;Candeias;Canuma;Caqueta1;Chapare;Coari;Curaray;Curua;Curua_Una;Demini;Fresco;Grande;Guapore;Huallaga;Iriri;Isiboro;Itonamas;Jamanxim;Japura1;Jari;Jatapu;Javary1;Jiparana;Jurua1;Juruena1;Jutai;Luna;Madera1;Madera2;Madera3;Madera4;Madera6;Madre_Dios;Mamore1;Mamore2;Mantaro;Maranon1;Maranon3;Maranon5;Marmelos;Maues;Napo1;Napo2;Negro1;Negro2;Negro3;Negro5;Nhamunda;Orthon;Pachitea;Paru_Este;Pastaza;Purus1;Purus2;Purus3;Putumayo;Roosevelt;Santiago;Solimoes1;Solimoes2;Solimoes3;Solimoes4;Solimoes7;Solimoes8;Solimoes9;Tapajos1;Tapajos2;Tapaua;Tefe;Teles_Pires;Tigre;Trombetas1;Uatuma1;Uaupes;Ucayali1;Ucayali2;Unini;Urubamba;Xingu1;Xingu3;Xingu4;Xingu6;Yacuma
Curaray;4190721.514;4117139.8;3963542.263;3389409.393;2963856.075;2733277.301;3102713.564;2657390.168;2339996.797;4923762.967;3072466.279;4360100.296;4457651.286;4699474.481;2948707.737;3819356.234;3586529.272;2657390.168;5348324.245;2062349.862;0;3659365.531;3612036.556;3130044.649;4962656.461;5225736.718;4545731.217;899181.6344;4537647.773;5225736.718;4684998.07;3959656.535;1853017.973;3963542.263;3075459.932;815927.8832;3709986.452;1610555.145;4428068.259;1429577.841;2733277.301;2733277.301;3072466.279;3331391.064;3709986.452;4190721.514;4294717.059;4294717.059;4545731.217;2339996.797;542984.6461;899181.6344;1211178.589;3331391.064;3361247.406;332125.2442;0;2525536.291;2853086.246;3130044.649;3739754.253;3349025.835;4422384.737;1588595.637;3888236.006;1009647.665;2277276.184;3149733.967;3511619.885;1209406.481;3416701.345;1211178.589;2525536.291;2277276.184;2062349.862;1853017.973;1209406.481;815927.8832;332125.2442;3540264.296;3959656.535;3149733.967;1826028.481;4428068.259;633244.0242;3303404.122;2963856.075;3739754.253;542984.6461;1588595.637;2878213.68;1995392.144;3982343.777;4537647.773;4962656.461;5686124.027;4920773.79
Curua;2426648.467;695976.7388;542379.2021;269956.1385;695509.4563;969204.2536;556651.9677;2610719.753;5335111.84;1590894.011;1308393.232;938937.2349;2693578.24;2935401.434;1557000.687;2055283.187;1040467.676;2610719.753;3584251.198;1597015.669;3659365.531;0;190873.4945;1738337.599;1541493.4;3461663.671;2781658.17;3894296.677;1116484.712;3461663.671;2920925.023;626787.5795;1806347.558;542379.2021;807113.3134;2843437.648;1945913.405;2048810.386;1095199.303;2229787.69;969204.2536;969204.2536;1308393.232;1567318.017;1945913.405;2426648.467;2530644.012;2530644.012;2781658.17;5335111.84;3538099.689;3894296.677;4206293.632;1567318.017;815185.8102;3327240.287;3659365.531;1133829.241;1461379.197;1738337.599;2348047.204;401583.1224;2658311.69;4583710.679;467072.9446;4004762.708;1382089.347;2254547.131;2616433.048;2449959.05;1652628.299;4206293.632;1133829.241;1382089.347;1597015.669;1806347.558;2449959.05;2843437.648;3327240.287;119101.2352;626787.5795;2254547.131;1833337.051;1095199.303;3628359.067;355961.4091;695509.4563;2348047.204;3538099.689;4583710.679;1486506.63;4990507.187;561180.716;1116484.712;1541493.4;2264960.966;3156700.743
Curua_Una;2379319.491;505103.2443;351505.7076;222627.1626;648180.4805;921875.2777;509322.9919;2563390.778;5287782.864;1543565.035;1261064.257;748063.7404;2646249.264;2888072.458;1509671.711;2007954.212;993138.7;2563390.778;3536922.222;1549686.693;3612036.556;190873.4945;0;1691008.623;1350619.905;3414334.695;2734329.194;3846967.701;925611.2177;3414334.695;2873596.047;579458.6037;1759018.583;351505.7076;759784.3376;2796108.672;1898584.429;2001481.41;1047870.328;2182458.715;921875.2777;921875.2777;1261064.257;1519989.041;1898584.429;2379319.491;2483315.036;2483315.036;2734329.194;5287782.864;3490770.713;3846967.701;4158964.656;1519989.041;767856.8344;3279911.311;3612036.556;1086500.265;1414050.221;1691008.623;2300718.228;354254.1466;2610982.714;4536381.704;276199.4501;3957433.732;1334760.371;2207218.155;2569104.072;2402630.075;1605299.323;4158964.656;1086500.265;1334760.371;1549686.693;1759018.583;2402630.075;2796108.672;3279911.311;71772.25934;579458.6037;2207218.155;1786008.075;1047870.328;3581030.091;308632.4333;648180.4805;2300718.228;3490770.713;4536381.704;1439177.654;4943178.211;370307.2215;925611.2177;1350619.905;2074087.471;3109371.767
Demini;2269693.582;2196111.868;2042514.331;1468381.461;1042828.143;812249.3684;1181685.632;2081398.871;4805790.958;3002735.035;1151438.347;2439072.364;2536623.354;2778446.549;181336.912;1898328.302;1665501.34;2081398.871;3427296.313;1067694.787;3130044.649;1738337.599;1691008.623;0;3041628.529;3304708.785;2624703.285;3364975.795;2616619.841;3304708.785;2763970.138;2038628.603;1277026.676;2042514.331;1154432;2314116.766;1788958.52;1519489.504;2507040.327;1700466.808;812249.3684;812249.3684;1151438.347;1410363.132;1788958.52;2269693.582;2373689.127;2373689.127;2624703.285;4805790.958;3008778.807;3364975.795;3676972.75;1410363.132;1440219.474;2797919.405;3130044.649;604508.3584;276958.4026;0;609709.6043;1427997.903;2501356.805;4054389.797;1967208.073;3475441.825;852768.4649;1725226.248;2087112.165;1920638.168;1495673.413;3676972.75;604508.3584;852768.4649;1067694.787;1277026.676;1920638.168;2314116.766;2797919.405;1619236.364;2038628.603;1725226.248;1304016.168;2507040.327;3099038.185;1382376.19;1042828.143;609709.6043;3008778.807;4054389.797;251830.969;4461186.305;2061315.845;2616619.841;3041628.529;3765096.095;2999745.858
Fresco;3729939.397;1115108.707;999114.1979;1573247.068;1998800.386;2272495.183;1859942.897;3914010.683;6638402.77;2894184.941;2611684.162;602556.1651;3996869.169;4238692.364;2860291.617;3358574.117;2343758.606;3914010.683;4887542.128;2900306.599;4962656.461;1541493.4;1350619.905;3041628.529;0;4764954.6;4084949.099;5197587.607;425008.6878;4764954.6;4224215.952;1930078.509;3109638.488;999114.1979;2110404.243;4146728.578;3249204.335;3352101.316;2398490.233;3533078.62;2272495.183;2272495.183;2611684.162;2870608.947;3249204.335;3729939.397;3833934.942;3833934.942;4084949.099;6638402.77;4841390.619;5197587.607;5509584.562;2870608.947;2118476.74;4630531.217;4962656.461;2437120.17;2764670.126;3041628.529;3651338.133;1704874.052;3961602.62;5887001.609;1074420.455;5308053.637;2685380.277;3557838.06;3919723.977;3753249.98;2955919.228;5509584.562;2437120.17;2685380.277;2900306.599;3109638.488;3753249.98;4146728.578;4630531.217;1422392.165;1930078.509;3557838.06;3136627.98;2398490.233;4931649.997;1659252.339;1998800.386;3651338.133;4841390.619;5887001.609;2789797.56;6293798.117;980312.684;425008.6878;0;723467.566;4459991.673
Grande;1035015.203;3919437.939;3765840.402;3191707.532;2766154.214;2492459.417;2905011.703;4177090.94;6901483.026;4726061.106;2153270.438;4162398.435;1093953.886;833748.7655;3123371.874;1406380.483;3388827.411;4177090.94;122587.5275;3163386.855;5225736.718;3461663.671;3414334.695;3304708.785;4764954.6;0;680005.5009;5460667.864;4339945.913;0;819272.354;3761954.675;3372718.745;3765840.402;2877758.071;4409808.834;1515750.266;3615181.573;4230366.399;3796158.877;2492459.417;2492459.417;2153270.438;1894345.654;1515750.266;1035015.203;931019.6584;931019.6584;680005.5009;6901483.026;5104470.875;5460667.864;5772664.818;1894345.654;3163545.545;4893611.473;5225736.718;2700200.427;3027750.383;3304708.785;3914418.39;3151323.975;1058687.336;6150081.866;3690534.145;5571133.894;2948460.534;3820918.317;4182804.234;4016330.237;2497505.504;5772664.818;2700200.427;2948460.534;3163386.855;3372718.745;4016330.237;4409808.834;4893611.473;3342562.435;3761954.675;3820918.317;3399708.237;4230366.399;5194730.253;3105702.262;2766154.214;3914418.39;5104470.875;6150081.866;3052877.816;6556878.373;3784641.916;4339945.913;4764954.6;5488422.166;304962.9277
Guapore;355009.7025;3239432.438;3085834.901;2511702.031;2086148.713;1812453.916;2225006.202;3497085.439;6221477.525;4046055.605;1473264.937;3482392.934;413948.3848;153743.2646;2443366.373;726374.9823;2708821.91;3497085.439;802593.0284;2483381.354;4545731.217;2781658.17;2734329.194;2624703.285;4084949.099;680005.5009;0;4780662.363;3659940.412;680005.5009;139266.8531;3081949.174;2692713.244;3085834.901;2197752.571;3729803.333;835744.7646;2935176.072;3550360.898;3116153.376;1812453.916;1812453.916;1473264.937;1214340.153;835744.7646;355009.7025;251014.1575;251014.1575;0;6221477.525;4424465.374;4780662.363;5092659.318;1214340.153;2483540.045;4213605.972;4545731.217;2020194.926;2347744.882;2624703.285;3234412.889;2471318.474;378681.8351;5470076.365;3010528.644;4891128.393;2268455.033;3140912.816;3502798.733;3336324.736;1817500.003;5092659.318;2020194.926;2268455.033;2483381.354;2692713.244;3336324.736;3729803.333;4213605.972;2662556.935;3081949.174;3140912.816;2719702.736;3550360.898;4514724.752;2425696.761;2086148.713;3234412.889;4424465.374;5470076.365;2372872.316;5876872.872;3104636.415;3659940.412;4084949.099;4808416.665;375042.5732
Huallaga;4425652.66;4352070.946;4198473.409;3624340.539;3198787.221;2968208.446;3337644.71;2892321.314;2153209.139;5158694.113;3307397.425;4595031.442;4692582.432;4934405.627;3183638.883;4054287.38;3821460.418;2892321.314;5583255.391;2297281.008;899181.6344;3894296.677;3846967.701;3364975.795;5197587.607;5460667.864;4780662.363;0;4772578.919;5460667.864;4919929.216;4194587.681;2087949.119;4198473.409;3310391.078;1050859.029;3944917.598;1845486.291;4662999.405;1664508.987;2968208.446;2968208.446;3307397.425;3566322.21;3944917.598;4425652.66;4529648.205;4529648.205;4780662.363;2153209.139;356196.9883;0;311996.9549;3566322.21;3596178.552;567056.3902;899181.6344;2760467.436;3088017.392;3364975.795;3974685.399;3583956.981;4657315.883;1401807.979;4123167.151;110466.0303;2512207.33;3384665.113;3746551.03;1444337.627;3651632.491;311996.9549;2760467.436;2512207.33;2297281.008;2087949.119;1444337.627;1050859.029;567056.3902;3775195.442;4194587.681;3384665.113;2060959.627;4662999.405;265937.6102;3538335.268;3198787.221;3974685.399;356196.9883;1401807.979;3113144.826;1808604.486;4217274.923;4772578.919;5197587.607;5921055.173;5155704.936
Iriri;3304930.709;690100.019;574105.5101;1148238.38;1573791.698;1847486.495;1434934.21;3489001.995;6213394.082;2469176.253;2186675.474;177547.4773;3571860.481;3813683.676;2435282.929;2933565.429;1918749.918;3489001.995;4462533.44;2475297.911;4537647.773;1116484.712;925611.2177;2616619.841;425008.6878;4339945.913;3659940.412;4772578.919;0;4339945.913;3799207.265;1505069.821;2684629.8;574105.5101;1685395.555;3721719.89;2824195.647;2927092.628;1973481.545;3108069.932;1847486.495;1847486.495;2186675.474;2445600.259;2824195.647;3304930.709;3408926.254;3408926.254;3659940.412;6213394.082;4416381.931;4772578.919;5084575.874;2445600.259;1693468.052;4205522.529;4537647.773;2012111.483;2339661.439;2616619.841;3226329.445;1279865.364;3536593.932;5461992.921;649411.7676;4883044.949;2260371.589;3132829.372;3494715.29;3328241.292;2530910.54;5084575.874;2012111.483;2260371.589;2475297.911;2684629.8;3328241.292;3721719.89;4205522.529;997383.477;1505069.821;3132829.372;2711619.293;1973481.545;4506641.309;1234243.651;1573791.698;3226329.445;4416381.931;5461992.921;2364788.872;5868789.429;555303.9962;0;425008.6878;1148476.254;4034982.985
Isiboro;1035015.203;3919437.939;3765840.402;3191707.532;2766154.214;2492459.417;2905011.703;4177090.94;6901483.026;4726061.106;2153270.438;4162398.435;1093953.886;833748.7655;3123371.874;1406380.483;3388827.411;4177090.94;122587.5275;3163386.855;5225736.718;3461663.671;3414334.695;3304708.785;4764954.6;0;680005.5009;5460667.864;4339945.913;0;819272.354;3761954.675;3372718.745;3765840.402;2877758.071;4409808.834;1515750.266;3615181.573;4230366.399;3796158.877;2492459.417;2492459.417;2153270.438;1894345.654;1515750.266;1035015.203;931019.6584;931019.6584;680005.5009;6901483.026;5104470.875;5460667.864;5772664.818;1894345.654;3163545.545;4893611.473;5225736.718;2700200.427;3027750.383;3304708.785;3914418.39;3151323.975;1058687.336;6150081.866;3690534.145;5571133.894;2948460.534;3820918.317;4182804.234;4016330.237;2497505.504;5772664.818;2700200.427;2948460.534;3163386.855;3372718.745;4016330.237;4409808.834;4893611.473;3342562.435;3761954.675;3820918.317;3399708.237;4230366.399;5194730.253;3105702.262;2766154.214;3914418.39;5104470.875;6150081.866;3052877.816;6556878.373;3784641.916;4339945.913;4764954.6;5488422.166;304962.9277
Itonamas;494276.5556;3378699.291;3225101.755;2650968.884;2225415.566;1951720.769;2364273.055;3636352.292;6360744.378;4185322.458;1612531.79;3621659.787;553215.2379;14476.4115;2582633.226;865641.8353;2848088.763;3636352.292;941859.8815;2622648.208;4684998.07;2920925.023;2873596.047;2763970.138;4224215.952;819272.354;139266.8531;4919929.216;3799207.265;819272.354;0;3221216.027;2831980.097;3225101.755;2337019.424;3869070.187;975011.6177;3074442.925;3689627.751;3255420.229;1951720.769;1951720.769;1612531.79;1353607.006;975011.6177;494276.5556;390281.0106;390281.0106;139266.8531;6360744.378;4563732.227;4919929.216;5231926.171;1353607.006;2622806.898;4352872.826;4684998.07;2159461.779;2487011.735;2763970.138;3373679.742;2610585.327;517948.6882;5609343.218;3149795.497;5030395.246;2407721.886;3280179.669;3642065.586;3475591.589;1956766.856;5231926.171;2159461.779;2407721.886;2622648.208;2831980.097;3475591.589;3869070.187;4352872.826;2801823.788;3221216.027;3280179.669;2858969.589;3689627.751;4653991.605;2564963.614;2225415.566;3373679.742;4563732.227;5609343.218;2512139.169;6016139.725;3243903.268;3799207.265;4224215.952;4947683.518;514309.4263
Jamanxim;2726939.471;1084561.848;930964.3112;570247.1423;995800.4602;1269495.257;856942.9716;2911010.757;5635402.844;964106.4317;1608684.236;1327522.344;2993869.243;3235692.438;1857291.691;2355574.191;1340758.68;2911010.757;3884542.202;1897306.673;3959656.535;626787.5795;579458.6037;2038628.603;1930078.509;3761954.675;3081949.174;4194587.681;1505069.821;3761954.675;3221216.027;0;2106638.562;930964.3112;1107404.317;3143728.652;2246204.409;2349101.39;468411.724;2530078.694;1269495.257;1269495.257;1608684.236;1867609.021;2246204.409;2726939.471;2830935.016;2830935.016;3081949.174;5635402.844;3838390.693;4194587.681;4506584.636;1867609.021;1115476.814;3627531.291;3959656.535;1434120.245;1761670.201;2038628.603;2648338.207;701874.1263;2958602.694;4884001.683;855658.0537;4305053.711;1682380.351;2554838.134;2916724.052;2750250.054;1952919.302;4506584.636;1434120.245;1682380.351;1897306.673;2106638.562;2750250.054;3143728.652;3627531.291;507686.3443;0;2554838.134;2133628.055;468411.724;3928650.071;656252.413;995800.4602;2648338.207;3838390.693;4884001.683;1786797.634;5290798.191;949765.8252;1505069.821;1930078.509;2653546.075;3456991.747
Japura1;2337703.541;2264121.827;2110524.29;1536391.42;1110838.102;880259.3277;1249695.591;804372.195;3528764.281;3070744.994;1219448.307;2507082.323;2604633.314;2846456.508;1095689.764;1966338.262;1733511.299;804372.195;3495306.272;209331.8893;1853017.973;1806347.558;1759018.583;1277026.676;3109638.488;3372718.745;2692713.244;2087949.119;2684629.8;3372718.745;2831980.097;2106638.562;0;2110524.29;1222441.959;1037090.09;1856968.479;242462.8278;2575050.286;423440.132;880259.3277;880259.3277;1219448.307;1478373.091;1856968.479;2337703.541;2441699.086;2441699.086;2692713.244;3528764.281;1731752.13;2087949.119;2399946.074;1478373.091;1508229.433;1520892.729;1853017.973;672518.3177;1000068.274;1277026.676;1886736.28;1496007.863;2569366.764;2777363.121;2035218.033;2198415.149;424258.2112;1296715.994;1658601.912;643611.492;1563683.373;2399946.074;672518.3177;424258.2112;209331.8893;0;643611.492;1037090.09;1520892.729;1687246.323;2106638.562;1296715.994;26989.49223;2575050.286;1822011.509;1450386.149;1110838.102;1886736.28;1731752.13;2777363.121;1025195.707;3184159.628;2129325.804;2684629.8;3109638.488;3833106.054;3067755.817
Jari;2730825.199;153597.5367;0;574132.8702;999686.1881;1273380.985;860828.6994;2914896.485;5639288.572;1895070.743;1612569.964;396558.0329;2997754.971;3239578.166;1861177.419;2359459.919;1344644.408;2914896.485;3888427.93;1901192.401;3963542.263;542379.2021;351505.7076;2042514.331;999114.1979;3765840.402;3085834.901;4198473.409;574105.5101;3765840.402;3225101.755;930964.3112;2110524.29;0;1111290.045;3147614.38;2250090.137;2352987.118;1399376.035;2533964.422;1273380.985;1273380.985;1612569.964;1871494.749;2250090.137;2730825.199;2834820.744;2834820.744;3085834.901;5639288.572;3842276.421;4198473.409;4510470.364;1871494.749;1119362.542;3631417.019;3963542.263;1438005.973;1765555.928;2042514.331;2652223.935;705759.8542;2962488.422;4887887.411;75306.25749;4308939.439;1686266.079;2558723.862;2920609.78;2754135.782;1956805.03;4510470.364;1438005.973;1686266.079;1901192.401;2110524.29;2754135.782;3147614.38;3631417.019;423277.9669;930964.3112;2558723.862;2137513.782;1399376.035;3932535.799;660138.1409;999686.1881;2652223.935;3842276.421;4887887.411;1790683.362;5294683.919;18801.51393;574105.5101;999114.1979;1722581.764;3460877.475
Jatapu;1842742.868;1264887.582;1111290.045;537157.175;111603.8571;385298.6544;250461.3457;2026814.154;4751206.241;2071510.749;724487.6333;1507848.078;2109672.64;2351495.835;973095.0881;1471377.588;734277.0539;2026814.154;3000345.599;1013110.07;3075459.932;807113.3134;759784.3376;1154432;2110404.243;2877758.071;2197752.571;3310391.078;1685395.555;2877758.071;2337019.424;1107404.317;1222441.959;1111290.045;0;2259532.049;1362007.806;1464904.787;1575816.041;1645882.091;385298.6544;385298.6544;724487.6333;983412.4179;1362007.806;1842742.868;1946738.413;1946738.413;2197752.571;4751206.241;2954194.09;3310391.078;3622388.033;983412.4179;508995.1882;2743334.688;3075459.932;549923.6416;877473.5975;1154432;1764141.604;496773.6176;2074406.091;3999805.08;1035983.788;3420857.108;798183.7481;1670641.531;2032527.449;1866053.451;1068722.699;3622388.033;549923.6416;798183.7481;1013110.07;1222441.959;1866053.451;2259532.049;2743334.688;688012.0783;1107404.317;1670641.531;1249431.452;1575816.041;3044453.468;451151.9043;111603.8571;1764141.604;2954194.09;3999805.08;902601.031;4406601.588;1130091.559;1685395.555;2110404.243;2833871.809;2572795.144
Javary1;3374793.631;3301211.917;3147614.38;2573481.51;2147928.192;1917349.417;2286785.68;1841462.285;2491674.192;4107835.084;2256538.396;3544172.413;3641723.403;3883546.598;2132779.854;3003428.351;2770601.389;1841462.285;4532396.362;1246421.979;815927.8832;2843437.648;2796108.672;2314116.766;4146728.578;4409808.834;3729803.333;1050859.029;3721719.89;4409808.834;3869070.187;3143728.652;1037090.09;3147614.38;2259532.049;0;2894058.569;794627.2618;3612140.376;613649.9576;1917349.417;1917349.417;2256538.396;2515463.181;2894058.569;3374793.631;3478789.176;3478789.176;3729803.333;2491674.192;694662.0408;1050859.029;1362855.984;2515463.181;2545319.523;483802.639;815927.8832;1709608.407;2037158.363;2314116.766;2923826.37;2533097.952;3606456.854;1740273.031;3072308.122;1161325.06;1461348.301;2333806.084;2695692.001;393478.5977;2600773.462;1362855.984;1709608.407;1461348.301;1246421.979;1037090.09;393478.5977;0;483802.639;2724336.413;3143728.652;2333806.084;1010100.597;3612140.376;784921.4189;2487476.239;2147928.192;2923826.37;694662.0408;1740273.031;2062285.797;2147069.539;3166415.894;3721719.89;4146728.578;4870196.144;4104845.907
Jiparana;480735.0621;2403687.674;2250090.137;1675957.267;1250403.949;976709.1515;1389261.437;2661340.674;5385732.761;3210310.841;637520.1726;2646648.17;747664.8344;989488.0292;1607621.608;109369.7823;1873077.146;2661340.674;1638337.793;1647636.59;3709986.452;1945913.405;1898584.429;1788958.52;3249204.335;1515750.266;835744.7646;3944917.598;2824195.647;1515750.266;975011.6177;2246204.409;1856968.479;2250090.137;1362007.806;2894058.569;0;2099431.307;2714616.133;2280408.611;976709.1515;976709.1515;637520.1726;378595.388;0;480735.0621;584730.6071;584730.6071;835744.7646;5385732.761;3588720.61;3944917.598;4256914.553;378595.388;1647795.28;3377861.208;3709986.452;1184450.162;1512000.117;1788958.52;2398668.124;1635573.709;712398.2847;4634331.6;2174783.879;4055383.628;1432710.268;2305168.051;2667053.968;2500579.971;981755.2387;4256914.553;1184450.162;1432710.268;1647636.59;1856968.479;2500579.971;2894058.569;3377861.208;1826812.17;2246204.409;2305168.051;1883957.971;2714616.133;3678979.988;1589951.996;1250403.949;2398668.124;3588720.61;4634331.6;1537127.551;5041128.108;2268891.651;2824195.647;3249204.335;3972671.901;1210787.338
Jurua1;2580166.369;2506584.655;2352987.118;1778854.248;1353300.93;1122722.155;1492158.419;1046835.023;3286301.454;3313207.822;1461911.134;2749545.151;2847096.141;3088919.336;1338152.592;2208801.089;1975974.127;1046835.023;3737769.1;451794.7171;1610555.145;2048810.386;2001481.41;1519489.504;3352101.316;3615181.573;2935176.072;1845486.291;2927092.628;3615181.573;3074442.925;2349101.39;242462.8278;2352987.118;1464904.787;794627.2618;2099431.307;0;2817513.114;180977.3043;1122722.155;1122722.155;1461911.134;1720835.919;2099431.307;2580166.369;2684161.914;2684161.914;2935176.072;3286301.454;1489289.303;1845486.291;2157483.246;1720835.919;1750692.261;1278429.901;1610555.145;914981.1454;1242531.101;1519489.504;2129199.108;1738470.69;2811829.592;2534900.293;2277680.86;1955952.321;666721.039;1539178.822;1901064.739;401148.6642;1806146.2;2157483.246;914981.1454;666721.039;451794.7171;242462.8278;401148.6642;794627.2618;1278429.901;1929709.151;2349101.39;1539178.822;215473.3355;2817513.114;1579548.681;1692848.977;1353300.93;2129199.108;1489289.303;2534900.293;1267658.535;2941696.801;2371788.632;2927092.628;3352101.316;4075568.882;3310218.645
Juruena1;3195351.195;1552973.572;1399376.035;1038658.866;1464212.184;1737906.981;1325354.696;3379422.481;6103814.568;495694.7078;2077095.96;1795934.068;3462280.967;3704104.162;2325703.415;2823985.915;1809170.404;3379422.481;4352953.926;2365718.397;4428068.259;1095199.303;1047870.328;2507040.327;2398490.233;4230366.399;3550360.898;4662999.405;1973481.545;4230366.399;3689627.751;468411.724;2575050.286;1399376.035;1575816.041;3612140.376;2714616.133;2817513.114;0;2998490.418;1737906.981;1737906.981;2077095.96;2336020.745;2714616.133;3195351.195;3299346.74;3299346.74;3550360.898;6103814.568;4306802.417;4662999.405;4974996.36;2336020.745;1583888.538;4095943.015;4428068.259;1902531.969;2230081.925;2507040.327;3116749.931;1170285.85;3427014.418;5352413.407;1324069.778;4773465.435;2150792.075;3023249.858;3385135.776;3218661.778;2421331.026;4974996.36;1902531.969;2150792.075;2365718.397;2575050.286;3218661.778;3612140.376;4095943.015;976098.0683;468411.724;3023249.858;2602039.779;0;4397061.795;1124664.137;1464212.184;3116749.931;4306802.417;5352413.407;2255209.358;5759209.915;1418177.549;1973481.545;2398490.233;3121957.799;3925403.471
Jutai;2761143.673;2687561.959;2533964.422;1959831.552;1534278.234;1303699.46;1673135.723;1227812.327;3105324.149;3494185.126;1642888.439;2930522.455;3028073.446;3269896.64;1519129.896;2389778.394;2156951.431;1227812.327;3918746.404;632772.0214;1429577.841;2229787.69;2182458.715;1700466.808;3533078.62;3796158.877;3116153.376;1664508.987;3108069.932;3796158.877;3255420.229;2530078.694;423440.132;2533964.422;1645882.091;613649.9576;2280408.611;180977.3043;2998490.418;0;1303699.46;1303699.46;1642888.439;1901813.223;2280408.611;2761143.673;2865139.218;2865139.218;3116153.376;3105324.149;1308311.998;1664508.987;1976505.942;1901813.223;1931669.565;1097452.597;1429577.841;1095958.45;1423508.406;1700466.808;2310176.412;1919447.995;2992806.896;2353922.989;2458658.165;1774975.017;847698.3432;1720156.127;2082042.044;220171.3599;1987123.505;1976505.942;1095958.45;847698.3432;632772.0214;423440.132;220171.3599;613649.9576;1097452.597;2110686.455;2530078.694;1720156.127;396450.6398;2998490.418;1398571.377;1873826.281;1534278.234;2310176.412;1308311.998;2353922.989;1448635.839;2760719.496;2552765.936;3108069.932;3533078.62;4256546.186;3491195.949
Luna;1457444.214;1426978.522;1273380.985;699248.1151;273694.7973;0;412552.2859;1684631.523;4409023.609;2233601.689;339188.9789;1669939.018;1724373.986;1966197.181;630912.4565;1086078.934;896367.994;1684631.523;2615046.945;670927.4383;2733277.301;969204.2536;921875.2777;812249.3684;2272495.183;2492459.417;1812453.916;2968208.446;1847486.495;2492459.417;1951720.769;1269495.257;880259.3277;1273380.985;385298.6544;1917349.417;976709.1515;1122722.155;1737906.981;1303699.46;0;0;339188.9789;598113.7636;976709.1515;1457444.214;1561439.759;1561439.759;1812453.916;4409023.609;2612011.458;2968208.446;3280205.401;598113.7636;671086.1284;2401152.056;2733277.301;207741.01;535290.9659;812249.3684;1421958.973;658864.5577;1689107.436;3657622.449;1198074.728;3078674.477;456001.1165;1328458.9;1690344.817;1523870.82;683424.045;3280205.401;207741.01;456001.1165;670927.4383;880259.3277;1523870.82;1917349.417;2401152.056;850103.0184;1269495.257;1328458.9;907248.8199;1737906.981;2702270.836;613242.8444;273694.7973;1421958.973;2612011.458;3657622.449;560418.3994;4064418.956;1292182.499;1847486.495;2272495.183;2995962.749;2187496.489
Madera1;1457444.214;1426978.522;1273380.985;699248.1151;273694.7973;0;412552.2859;1684631.523;4409023.609;2233601.689;339188.9789;1669939.018;1724373.986;1966197.181;630912.4565;1086078.934;896367.994;1684631.523;2615046.945;670927.4383;2733277.301;969204.2536;921875.2777;812249.3684;2272495.183;2492459.417;1812453.916;2968208.446;1847486.495;2492459.417;1951720.769;1269495.257;880259.3277;1273380.985;385298.6544;1917349.417;976709.1515;1122722.155;1737906.981;1303699.46;0;0;339188.9789;598113.7636;976709.1515;1457444.214;1561439.759;1561439.759;1812453.916;4409023.609;2612011.458;2968208.446;3280205.401;598113.7636;671086.1284;2401152.056;2733277.301;207741.01;535290.9659;812249.3684;1421958.973;658864.5577;1689107.436;3657622.449;1198074.728;3078674.477;456001.1165;1328458.9;1690344.817;1523870.82;683424.045;3280205.401;207741.01;456001.1165;670927.4383;880259.3277;1523870.82;1917349.417;2401152.056;850103.0184;1269495.257;1328458.9;907248.8199;1737906.981;2702270.836;613242.8444;273694.7973;1421958.973;2612011.458;3657622.449;560418.3994;4064418.956;1292182.499;1847486.495;2272495.183;2995962.749;2187496.489
Madera2;1118255.235;1766167.501;1612569.964;1038437.094;612883.7762;339188.9789;751741.2648;2023820.502;4748212.588;2572790.668;0;2009127.997;1385185.007;1627008.202;970101.4354;746889.955;1235556.973;2023820.502;2275857.966;1010116.417;3072466.279;1308393.232;1261064.257;1151438.347;2611684.162;2153270.438;1473264.937;3307397.425;2186675.474;2153270.438;1612531.79;1608684.236;1219448.307;1612569.964;724487.6333;2256538.396;637520.1726;1461911.134;2077095.96;1642888.439;339188.9789;339188.9789;0;258924.7846;637520.1726;1118255.235;1222250.78;1222250.78;1473264.937;4748212.588;2951200.437;3307397.425;3619394.38;258924.7846;1010275.107;2740341.035;3072466.279;546929.9889;874479.9448;1151438.347;1761147.952;998053.5366;1349918.457;3996811.427;1537263.707;3417863.456;795190.0954;1667647.879;2029533.796;1863059.799;344235.0661;3619394.38;546929.9889;795190.0954;1010116.417;1219448.307;1863059.799;2256538.396;2740341.035;1189291.997;1608684.236;1667647.879;1246437.799;2077095.96;3041459.815;952431.8233;612883.7762;1761147.952;2951200.437;3996811.427;899607.3783;4403607.935;1631371.478;2186675.474;2611684.162;3335151.728;1848307.51
